,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,ribeira grande,64,PT,1540617756,98,38.52,-28.7,68.32,19.64
1,vardo,90,US,1540616100,100,39.62,-77.74,44.6,10.29
2,ushuaia,40,AR,1540612800,66,-54.81,-68.31,48.2,6.93
3,butaritari,64,KI,1540617762,100,3.07,172.79,84.88,3.2
4,cockburn town,0,TC,1540617764,99,21.46,-71.14,82.58,15.84
5,hermanus,8,ZA,1540617766,76,-34.42,19.24,67.33,3.98
6,severo-kurilsk,20,RU,1540617769,98,50.68,156.12,43.57,7.23
7,along,0,IN,1540617771,33,28.17,94.8,78.53,1.3
8,kosh-agach,0,RU,1540617773,55,49.99,88.66,32.54,3.87
9,kapaa,20,US,1540616160,78,22.08,-159.32,82.4,16.11
10,bredasdorp,64,ZA,1540616400,82,-34.53,20.04,68,12.75
11,araguaina,8,BR,1540617782,73,-7.19,-48.21,76.33,5.21
12,victoria,75,BN,1540616400,74,5.28,115.24,86,3.36
13,torbay,40,CA,1540616400,100,47.66,-52.73,35.6,11.41
14,busselton,0,AU,1540617788,77,-33.64,115.35,71.65,12.93
15,hobyo,0,SO,1540617790,93,5.35,48.53,81.41,4.65
16,bandarbeyla,64,SO,1540617793,100,9.49,50.81,76.28,5.88
17,kirensk,92,RU,1540617795,84,57.78,108.12,33.04,3.42
18,sumbe,88,AO,1540617797,100,-11.2,13.84,76.06,2.86
19,provideniya,0,RU,1540617799,100,64.42,-173.23,27.82,21.43
20,vaini,8,IN,1540617801,40,15.34,74.49,87.58,9.91
21,saint-philippe,20,CA,1540616400,86,45.36,-73.48,28.4,3.2
22,esperance,20,TT,1540612800,88,10.24,-61.45,78.8,5.21
23,mar del plata,68,AR,1540617808,57,-46.43,-67.52,57.61,15.17
24,puerto ayora,24,EC,1540617693,100,-0.74,-90.35,68.77,10.02
25,rikitea,36,PF,1540617812,100,-23.12,-134.97,72.91,13.49
26,albany,90,US,1540616040,69,42.65,-73.75,39.2,3.36
27,tuktoyaktuk,90,CA,1540616400,92,69.44,-133.03,23,8.05
28,iqaluit,90,CA,1540616400,85,63.75,-68.52,14,31.09
29,guerrero negro,0,MX,1540617821,57,27.97,-114.04,65.21,5.44
30,diffa,20,NE,1540617823,70,13.32,12.61,73.72,2.42
31,mataura,92,NZ,1540617825,96,-46.19,168.86,50.14,5.21
32,cabo san lucas,20,MX,1540612080,83,22.89,-109.91,75.2,10.29
33,port alfred,92,ZA,1540617829,98,-33.59,26.89,68.59,5.88
34,thinadhoo,92,MV,1540617832,100,0.53,72.93,82.04,14.05
35,carnarvon,0,ZA,1540617834,24,-30.97,22.13,73.76,5.88
36,paita,8,PE,1540617836,90,-5.09,-81.11,60.26,4.76
37,qaanaaq,0,GL,1540617838,100,77.48,-69.36,-1.17,5.32
38,faanui,36,PF,1540617840,100,-16.48,-151.75,79.43,7
39,upernavik,88,GL,1540617843,100,72.79,-56.15,22.01,24.67
40,atuona,100,PF,1540617696,100,-9.8,-139.03,79.43,16.51
41,moron,88,VE,1540617851,97,10.49,-68.2,72.28,2.64
42,talas,0,TR,1540615800,92,38.69,35.55,30.2,3.65
43,longyearbyen,20,NO,1540615800,57,78.22,15.63,23,12.75
44,umm lajj,0,SA,1540617857,94,25.02,37.27,76.91,8.23
45,cape town,0,ZA,1540616400,88,-33.93,18.42,62.6,3.36
46,iwanai,24,JP,1540617862,90,42.97,140.51,58.51,27.58
47,chuzhou,0,CN,1540612800,21,32.25,118.33,71.6,4.47
48,punta arenas,90,CL,1540614300,93,-53.16,-70.91,44.6,9.17
49,kahului,75,US,1540616160,94,20.89,-156.47,77,11.41
50,northeim,90,DE,1540615800,75,51.71,10,42.8,11.41
51,lloydminster,90,CA,1540616400,59,53.28,-110.01,35.6,2.75
52,alofi,92,NU,1540616400,88,-19.06,-169.92,77,5.82
53,santa rosa,0,AR,1540617878,94,-36.62,-64.29,49.42,4.21
54,bathsheba,20,BB,1540616400,78,13.22,-59.52,78.8,6.93
55,san antonio,0,CL,1540612800,87,-33.58,-71.61,53.6,1.12
56,hurricane,1,US,1540616160,44,37.18,-113.29,60.8,3.36
57,nikolskoye,90,RU,1540614600,86,59.7,30.79,33.8,4.47
58,pisco,0,PE,1540612800,82,-13.71,-76.2,60.8,3.36
59,kiunga,20,PG,1540617898,39,-6.12,141.3,94.46,2.64
60,cherskiy,36,RU,1540617900,58,68.75,161.3,-1.39,2.98
61,pevek,0,RU,1540617902,100,69.7,170.27,5.63,6.33
62,saint-joseph,90,FR,1540616400,100,43.56,6.97,62.6,2.24
63,taoudenni,8,ML,1540617907,35,22.68,-3.98,58.69,3.42
64,rocha,92,UY,1540617909,89,-34.48,-54.34,56.66,12.48
65,amparafaravola,0,MG,1540617911,59,-17.68,48.22,68.41,4.09
66,hobart,75,AU,1540616460,43,-42.88,147.33,51.8,24.16
67,homer,1,US,1540615980,93,59.64,-151.54,37.4,8.34
68,san patricio,80,PY,1540617918,91,-26.98,-56.83,65.66,5.77
69,geraldton,90,CA,1540616400,86,49.72,-86.95,30.2,6.93
70,port elizabeth,90,US,1540616940,100,39.31,-74.98,55.4,16.11
71,barth,75,DE,1540615680,81,54.37,12.73,44.6,12.75
72,lithgow,0,AU,1540616400,37,-33.48,150.16,84.2,10.29
73,khandyga,48,RU,1540617929,80,62.65,135.58,19.45,2.75
74,praia da vitoria,40,PT,1540616400,88,38.73,-27.07,64.4,23.11
75,namatanai,32,PG,1540617935,100,-3.66,152.44,80.38,2.53
76,togur,0,RU,1540617937,54,58.36,82.83,48.11,13.04
77,temir,68,KZ,1540617940,84,49.14,57.13,42.71,8.12
78,portland,90,US,1540616160,87,45.52,-122.67,57.2,2.3
79,staryy nadym,56,RU,1540617944,92,65.61,72.68,43.03,21.09
80,ocos,40,GT,1540615320,94,14.51,-92.19,77,4.43
81,salinopolis,68,BR,1540617948,97,-0.61,-47.36,80.83,12.48
82,comodoro rivadavia,68,AR,1540617951,74,-45.87,-67.48,56.08,14.83
83,andra,0,RU,1540617953,83,62.52,65.89,38.89,9.46
84,kavaratti,0,IN,1540617955,100,10.57,72.64,84.52,0.18
85,tahe,88,CN,1540617957,66,52.34,124.71,26.29,11.7
86,pathein,36,MM,1540617959,85,16.78,94.73,88.79,6.78
87,oussouye,0,SN,1540617961,100,12.49,-16.54,80.38,5.44
88,chimoio,75,MZ,1540616400,88,-19.11,33.48,62.6,4.7
89,kungurtug,0,RU,1540617971,65,50.6,97.53,34.39,2.3
90,jamestown,92,AU,1540617979,37,-33.21,138.6,71.02,3.65
91,indiana,90,US,1540616160,93,40.62,-79.15,42.8,9.17
92,arraial do cabo,56,BR,1540617984,98,-22.97,-42.02,72.01,14.5
93,ossora,80,RU,1540617986,98,59.24,163.07,39.7,9.24
94,dunedin,68,NZ,1540617971,87,-45.87,170.5,53.78,5.32
95,hambantota,20,LK,1540617990,100,6.12,81.12,83.39,5.99
96,worthington,1,US,1540617300,93,43.62,-95.6,42.8,4.7
97,mitu,0,IR,1540617997,70,36.2,46.09,45.64,2.42
98,saint george,0,GR,1540615800,87,39.45,22.34,48.2,2.64
99,te anau,68,NZ,1540618001,95,-45.41,167.72,45.46,3.87
100,bambous virieux,40,MU,1540616400,57,-20.34,57.76,78.8,6.93
101,gafanha da encarnacao,0,PT,1540616400,76,40.62,-8.73,53.6,11.41
102,argostolion,40,GR,1540615800,88,38.18,20.49,69.8,8.05
103,nisia floresta,20,BR,1540612800,74,-6.09,-35.21,78.8,8.05
104,biak,44,ID,1540618014,78,-0.91,122.88,84.29,6.78
105,gat,76,SN,1540618017,93,14.69,-16.54,75.56,4.99
106,voyvozh,44,RU,1540618019,87,62.89,54.96,30.52,10.92
107,mahibadhoo,36,MV,1540618021,100,3.78,72.97,82.13,7.34
108,zhangjiakou,0,CN,1540618023,50,40.77,114.88,46.18,17.85
109,yar-sale,8,RU,1540618025,86,66.83,70.83,39.07,25.34
110,edmundston,1,CA,1540616040,57,47.36,-68.33,23,8.05
111,hithadhoo,88,MV,1540618030,100,-0.6,73.08,80.96,13.27
112,banos,90,FR,1540616400,100,43.74,-0.62,50,3.36
113,tiarei,90,PF,1540616400,88,-17.53,-149.33,75.2,10.29
114,mount pleasant,1,US,1540616160,93,33.16,-94.97,53.6,3.98
115,naryan-mar,88,RU,1540618039,94,67.67,53.09,32.77,18.07
116,dikson,64,RU,1540618041,100,73.51,80.55,22.6,32.28
117,soyo,92,AO,1540618043,96,-6.13,12.37,76.91,4.76
118,tiksi,48,RU,1540618046,82,71.64,128.87,3.38,4.76
119,winsford,0,GB,1540615800,74,53.19,-2.53,39.2,4.7
120,sitrah,0,BH,1540618200,70,26.15,50.62,87.8,6.93
121,katsuura,40,JP,1540616400,48,33.93,134.5,66.2,14.99
122,khatanga,24,RU,1540618054,81,71.98,102.47,17.92,12.82
123,ust-tsilma,92,RU,1540618059,92,65.44,52.15,30.25,4.21
124,aguas belas,0,BR,1540618061,77,-9.11,-37.12,69.85,8.79
125,nova cruz,20,BR,1540612800,74,-6.48,-35.43,78.8,8.05
126,saskylakh,76,RU,1540618065,82,71.97,114.09,13.19,7.11
127,thompson,90,CA,1540616400,92,55.74,-97.86,28.4,3.36
128,roma,0,IT,1540616100,88,41.89,12.48,69.8,16.11
